iter	Passed	Remaining
0	16	16356
1	31	15536
2	46	15579
3	62	15490
4	78	15606
5	93	15504
6	109	15586
7	126	15650
8	148	16331
9	166	16456
10	185	16640
11	202	16640
12	221	16832
13	239	16849
14	256	16851
15	273	16791
16	291	16835
17	308	16803
18	325	16811
19	342	16803
20	359	16761
21	375	16673
22	392	16655
23	408	16625
24	427	16667
25	445	16705
26	463	16693
27	479	16656
28	496	16614
29	512	16573
30	528	16519
31	544	16481
32	561	16442
33	578	16443
34	596	16434
35	613	16420
36	630	16420
37	650	16471
38	669	16499
39	687	16503
40	704	16489
41	722	16479
42	739	16452
43	755	16418
44	772	16393
45	789	16369
46	806	16362
47	823	16336
48	839	16288
49	856	16275
50	874	16265
51	890	16230
52	906	16195
53	923	16172
54	939	16144
55	955	16111
56	972	16094
57	989	16063
58	1005	16042
59	1023	16027
60	1039	16005
61	1058	16008
62	1075	15993
63	1092	15973
64	1108	15944
65	1126	15944
66	1143	15922
67	1160	15898
68	1176	15869
69	1193	15851
70	1210	15843
71	1227	15819
72	1245	15811
73	1263	15807
74	1281	15804
75	1298	15784
76	1314	15761
77	1332	15747
78	1349	15737
79	1366	15715
80	1383	15697
81	1400	15682
82	1418	15670
83	1434	15639
84	1450	15611
85	1466	15588
86	1485	15584
87	1501	15561
88	1519	15555
89	1537	15546
90	1554	15530
91	1573	15528
92	1590	15511
93	1608	15500
94	1625	15486
95	1642	15468
96	1659	15452
97	1677	15437
98	1694	15421
99	1712	15411
100	1729	15389
101	1745	15365
102	1761	15342
103	1778	15320
104	1795	15307
105	1813	15291
106	1828	15263
107	1845	15239
108	1865	15253
109	1882	15233
110	1900	15220
111	1918	15209
112	1936	15202
113	1953	15185
114	1971	15169
115	1987	15149
116	2005	15132
117	2022	15115
118	2039	15098
119	2056	15077
120	2074	15067
121	2090	15044
122	2107	15028
123	2124	15011
124	2143	15004
125	2160	14989
126	2176	14962
127	2192	14938
128	2208	14913
129	2224	14887
130	2240	14860
131	2255	14832
132	2272	14814
133	2287	14785
134	2303	14760
135	2318	14732
136	2335	14710
137	2353	14699
138	2371	14690
139	2389	14678
140	2405	14653
141	2421	14629
142	2436	14604
143	2451	14575
144	2468	14553
145	2483	14528
146	2499	14505
147	2516	14484
148	2532	14464
149	2549	14446
150	2565	14424
151	2583	14413
152	2599	14393
153	2616	14371
154	2632	14350
155	2647	14320
156	2662	14298
157	2678	14273
158	2694	14249
159	2709	14226
160	2725	14205
161	2741	14179
162	2756	14155
163	2775	14148
164	2793	14137
165	2811	14123
166	2827	14106
167	2844	14086
168	2861	14068
169	2878	14053
170	2896	14039
171	2914	14030
172	2933	14021
173	2951	14011
174	2969	13998
175	2986	13983
176	3004	13970
177	3022	13958
178	3039	13939
179	3054	13915
180	3069	13889
181	3085	13867
182	3102	13848
183	3119	13833
184	3137	13820
185	3155	13811
186	3174	13799
187	3192	13788
188	3210	13777
189	3229	13767
190	3246	13750
191	3264	13738
192	3281	13722
193	3298	13704
194	3315	13686
195	3332	13668
196	3349	13653
197	3366	13637
198	3383	13620
199	3401	13606
200	3420	13596
201	3437	13581
202	3455	13564
203	3471	13545
204	3489	13533
205	3508	13521
206	3525	13505
207	3544	13494
208	3562	13484
209	3581	13474
210	3601	13467
211	3619	13451
212	3637	13440
213	3655	13425
214	3672	13407
215	3689	13393
216	3707	13378
217	3725	13363
218	3742	13347
219	3761	13335
220	3778	13318
221	3796	13303
222	3814	13291
223	3831	13275
224	3850	13262
225	3868	13250
226	3887	13236
227	3905	13222
228	3922	13206
229	3939	13188
230	3956	13171
231	3974	13155
232	3992	13143
233	4008	13123
234	4024	13102
235	4039	13078
236	4057	13063
237	4074	13043
238	4090	13023
239	4106	13004
240	4122	12982
241	4137	12960
242	4154	12941
243	4169	12919
244	4185	12899
245	4201	12876
246	4215	12852
247	4231	12830
248	4246	12808
249	4264	12793
250	4279	12770
251	4294	12747
252	4309	12725
253	4326	12706
254	4340	12682
255	4356	12661
256	4371	12638
257	4387	12618
258	4401	12593
259	4416	12569
260	4430	12543
261	4444	12519
262	4459	12497
263	4476	12479
264	4491	12457
265	4507	12436
266	4523	12418
267	4541	12403
268	4558	12387
269	4574	12368
270	4589	12347
271	4606	12328
272	4622	12310
273	4639	12292
274	4655	12274
275	4673	12259
276	4689	12240
277	4705	12219
278	4721	12200
279	4736	12179
280	4753	12162
281	4768	12141
282	4785	12125
283	4802	12106
284	4817	12086
285	4834	12068
286	4850	12051
287	4866	12031
288	4884	12017
289	4901	11999
290	4918	11982
291	4933	11962
292	4949	11942
293	4966	11926
294	4982	11908
295	4999	11891
296	5016	11872
297	5032	11854
298	5049	11837
299	5066	11821
300	5084	11807
301	5101	11790
302	5116	11769
303	5133	11752
304	5148	11732
305	5166	11717
306	5183	11701
307	5198	11678
308	5213	11657
309	5227	11636
310	5243	11617
311	5259	11597
312	5275	11579
313	5292	11562
314	5309	11545
315	5326	11529
316	5343	11511
317	5358	11492
318	5375	11475
319	5391	11457
320	5407	11439
321	5425	11423
322	5441	11405
323	5458	11387
324	5474	11369
325	5491	11352
326	5508	11337
327	5526	11322
328	5543	11305
329	5559	11288
330	5575	11269
331	5593	11253
332	5608	11233
333	5624	11215
334	5639	11195
335	5652	11171
336	5668	11151
337	5684	11132
338	5700	11114
339	5716	11097
340	5732	11077
341	5747	11058
342	5762	11037
